#File Generated by kernel at: Thu Dec 26 11:02:30 2024
#Time,X_true,Y_true,Theta_true,X,Y,Theta,
0,0.25,0,0,0.25,0,0
0.5,0.5,0,0,0.5,0,0
1,0.75,0,0,0.75,0,0
1.5,1,0,0,1,0,0
2,1.25,0,0,1.25,0,0
2.5,1.5,0,0,1.5,0,0
3,1.75,0,0,1.75,0,0
3.5,2,0,0,2,0,0
4,2.25,0,0,2.25,0,0
4.5,2.5,0,0,2.5,0,0
5,2.75,0,0,2.75,0,0
5.5,3,0,0,3,0,0
6,3.25,0,0,3.25,0,0
6.5,3.5,0,0,3.5,0,0
7,3.75,0,0,3.75,0,0
7.5,4,0,0,4,0,0
8,4.25,0,0,4.25,0,0
8.5,4.5,0,0,4.5,0,0
9,4.75,0,0,4.75,0,0
9.5,5,0,0,5,0,0
10,5.25,0,0,5.25,0,0
10.5,5.5,0,0,5.5,0,0
11,5.75,0,0,5.75,0,0
11.5,6,0,0,6,0,0
12,6.25,0,0,6.25,0,0
12.5,6.5,0,0,6.5,0,0
13,6.75,0,0,6.75,0,0
13.5,7,0,0,7,0,0
14,7.25,0,0,7.25,0,0
14.5,7.5,0,0,7.5,0,0
15,7.75,0,0,7.75,0,0
15.5,8,0,0,8,0,0
16,8.25,0,0,8.25,0,0
16.5,8.5,0,0,8.5,0,0
17,8.75,0,0,8.75,0,0
17.5,9,0,0,9,0,0
18,9.25,0,0,9.25,0,0
18.5,9.5,0,0,9.5,0,0
19,9.75,0,0,9.75,0,0
19.5,10,0,0,10,0,0
20,10.25,0,0,10.25,0,0
20.5,10.5,0,0,10.5,0,0
21,10.75,0,0,10.75,0,0
21.5,11,0,0,11,0,0
22,11.25,0,0,11.25,0,0
22.5,11.5,0,0,11.5,0,0
23,11.75,0,0,11.75,0,0
23.5,12,0,0,12,0,0
24,12.25,0,0,12.25,0,0
24.5,12.5,0,0,12.5,0,0
25,12.5,0,0.392699,12.5,0,0.392699
25.5,12.731,0.0956709,0.392699,12.731,0.0956709,0.392699
26,12.9619,0.191342,0.392699,12.9619,0.191342,0.392699
26.5,13.1929,0.287013,0.392699,13.1929,0.287013,0.392699
27,13.4239,0.382683,0.392699,13.4239,0.382683,0.392699
27.5,13.6548,0.478354,0.392699,13.6548,0.478354,0.392699
28,13.8858,0.574025,0.392699,13.8858,0.574025,0.392699
28.5,14.1168,0.669696,0.392699,14.1168,0.669696,0.392699
29,14.3478,0.765367,0.392699,14.3478,0.765367,0.392699
29.5,14.5787,0.861038,0.392699,14.5787,0.861038,0.392699
30,14.8097,0.956709,0.392699,14.8097,0.956709,0.392699
30.5,15.0407,1.05238,0.392699,15.0407,1.05238,0.392699
31,15.2716,1.14805,0.392699,15.2716,1.14805,0.392699
31.5,15.5026,1.24372,0.392699,15.5026,1.24372,0.392699
32,15.7336,1.33939,0.392699,15.7336,1.33939,0.392699
32.5,15.9645,1.43506,0.392699,15.9645,1.43506,0.392699
33,16.1955,1.53073,0.392699,16.1955,1.53073,0.392699
33.5,16.4265,1.6264,0.392699,16.4265,1.6264,0.392699
34,16.6575,1.72208,0.392699,16.6575,1.72208,0.392699
34.5,16.8884,1.81775,0.392699,16.8884,1.81775,0.392699
35,17.1194,1.91342,0.392699,17.1194,1.91342,0.392699
35.5,17.3504,2.00909,0.392699,17.3504,2.00909,0.392699
36,17.5813,2.10476,0.392699,17.5813,2.10476,0.392699
36.5,17.8123,2.20043,0.392699,17.8123,2.20043,0.392699
37,18.0433,2.2961,0.392699,18.0433,2.2961,0.392699
37.5,18.2742,2.39177,0.392699,18.2742,2.39177,0.392699
38,18.5052,2.48744,0.392699,18.5052,2.48744,0.392699
38.5,18.7362,2.58311,0.392699,18.7362,2.58311,0.392699
39,18.9672,2.67878,0.392699,18.9672,2.67878,0.392699
39.5,19.1981,2.77445,0.392699,19.1981,2.77445,0.392699
40,19.4291,2.87013,0.392699,19.4291,2.87013,0.392699
40.5,19.6601,2.9658,0.392699,19.6601,2.9658,0.392699
41,19.891,3.06147,0.392699,19.891,3.06147,0.392699
41.5,20.122,3.15714,0.392699,20.122,3.15714,0.392699
42,20.353,3.25281,0.392699,20.353,3.25281,0.392699
42.5,20.5839,3.34848,0.392699,20.5839,3.34848,0.392699
43,20.8149,3.44415,0.392699,20.8149,3.44415,0.392699
43.5,21.0459,3.53982,0.392699,21.0459,3.53982,0.392699
44,21.2769,3.63549,0.392699,21.2769,3.63549,0.392699
44.5,21.5078,3.73116,0.392699,21.5078,3.73116,0.392699
45,21.7388,3.82683,0.392699,21.7388,3.82683,0.392699
45.5,21.9698,3.92251,0.392699,21.9698,3.92251,0.392699
46,22.2007,4.01818,0.392699,22.2007,4.01818,0.392699
46.5,22.4317,4.11385,0.392699,22.4317,4.11385,0.392699
47,22.6627,4.20952,0.392699,22.6627,4.20952,0.392699
47.5,22.8936,4.30519,0.392699,22.8936,4.30519,0.392699
48,23.1246,4.40086,0.392699,23.1246,4.40086,0.392699
48.5,23.3556,4.49653,0.392699,23.3556,4.49653,0.392699
49,23.5866,4.5922,0.392699,23.5866,4.5922,0.392699
49.5,23.8175,4.68787,0.392699,23.8175,4.68787,0.392699
50,23.8175,4.68787,0,23.8175,4.68787,0
50.5,24.0675,4.68787,0,24.0675,4.68787,0
51,24.3175,4.68787,0,24.3175,4.68787,0
51.5,24.5675,4.68787,0,24.5675,4.68787,0
52,24.8175,4.68787,0,24.8175,4.68787,0
52.5,25.0675,4.68787,0,25.0675,4.68787,0
53,25.3175,4.68787,0,25.3175,4.68787,0
53.5,25.5675,4.68787,0,25.5675,4.68787,0
54,25.8175,4.68787,0,25.8175,4.68787,0
54.5,26.0675,4.68787,0,26.0675,4.68787,0
55,26.3175,4.68787,0,26.3175,4.68787,0
55.5,26.5675,4.68787,0,26.5675,4.68787,0
56,26.8175,4.68787,0,26.8175,4.68787,0
56.5,27.0675,4.68787,0,27.0675,4.68787,0
57,27.3175,4.68787,0,27.3175,4.68787,0
57.5,27.5675,4.68787,0,27.5675,4.68787,0
58,27.8175,4.68787,0,27.8175,4.68787,0
58.5,28.0675,4.68787,0,28.0675,4.68787,0
59,28.3175,4.68787,0,28.3175,4.68787,0
59.5,28.5675,4.68787,0,28.5675,4.68787,0
60,28.8175,4.68787,0,28.8175,4.68787,0
60.5,29.0675,4.68787,0,29.0675,4.68787,0
61,29.3175,4.68787,0,29.3175,4.68787,0
61.5,29.5675,4.68787,0,29.5675,4.68787,0
62,29.8175,4.68787,0,29.8175,4.68787,0
62.5,30.0675,4.68787,0,30.0675,4.68787,0
63,30.3175,4.68787,0,30.3175,4.68787,0
63.5,30.5675,4.68787,0,30.5675,4.68787,0
64,30.8175,4.68787,0,30.8175,4.68787,0
64.5,31.0675,4.68787,0,31.0675,4.68787,0
65,31.3175,4.68787,0,31.3175,4.68787,0
65.5,31.5675,4.68787,0,31.5675,4.68787,0
66,31.8175,4.68787,0,31.8175,4.68787,0
66.5,32.0675,4.68787,0,32.0675,4.68787,0
67,32.3175,4.68787,0,32.3175,4.68787,0
67.5,32.5675,4.68787,0,32.5675,4.68787,0
68,32.8175,4.68787,0,32.8175,4.68787,0
68.5,33.0675,4.68787,0,33.0675,4.68787,0
69,33.3175,4.68787,0,33.3175,4.68787,0
69.5,33.5675,4.68787,0,33.5675,4.68787,0
70,33.8175,4.68787,0,33.8175,4.68787,0
70.5,34.0675,4.68787,0,34.0675,4.68787,0
71,34.3175,4.68787,0,34.3175,4.68787,0
71.5,34.5675,4.68787,0,34.5675,4.68787,0
72,34.8175,4.68787,0,34.8175,4.68787,0
72.5,35.0675,4.68787,0,35.0675,4.68787,0
73,35.3175,4.68787,0,35.3175,4.68787,0
73.5,35.5675,4.68787,0,35.5675,4.68787,0
74,35.8175,4.68787,0,35.8175,4.68787,0
74.5,36.0675,4.68787,0,36.0675,4.68787,0
75,36.0675,4.68787,-0.392699,36.0675,4.68787,-0.392699
75.5,36.2985,4.5922,-0.392699,36.2985,4.5922,-0.392699
76,36.5295,4.49653,-0.392699,36.5295,4.49653,-0.392699
76.5,36.7604,4.40086,-0.392699,36.7604,4.40086,-0.392699
77,36.9914,4.30519,-0.392699,36.9914,4.30519,-0.392699
77.5,37.2224,4.20952,-0.392699,37.2224,4.20952,-0.392699
78,37.4533,4.11385,-0.392699,37.4533,4.11385,-0.392699
78.5,37.6843,4.01818,-0.392699,37.6843,4.01818,-0.392699
79,37.9153,3.92251,-0.392699,37.9153,3.92251,-0.392699
79.5,38.1463,3.82683,-0.392699,38.1463,3.82683,-0.392699
80,38.3772,3.73116,-0.392699,38.3772,3.73116,-0.392699
80.5,38.6082,3.63549,-0.392699,38.6082,3.63549,-0.392699
81,38.8392,3.53982,-0.392699,38.8392,3.53982,-0.392699
81.5,39.0701,3.44415,-0.392699,39.0701,3.44415,-0.392699
82,39.3011,3.34848,-0.392699,39.3011,3.34848,-0.392699
82.5,39.5321,3.25281,-0.392699,39.5321,3.25281,-0.392699
83,39.763,3.15714,-0.392699,39.763,3.15714,-0.392699
83.5,39.994,3.06147,-0.392699,39.994,3.06147,-0.392699
84,40.225,2.9658,-0.392699,40.225,2.9658,-0.392699
84.5,40.456,2.87013,-0.392699,40.456,2.87013,-0.392699
85,40.6869,2.77445,-0.392699,40.6869,2.77445,-0.392699
85.5,40.9179,2.67878,-0.392699,40.9179,2.67878,-0.392699
86,41.1489,2.58311,-0.392699,41.1489,2.58311,-0.392699
